rank,title,ratings,rating_num,meta
101,茶花女,8.1,43819,小仲马 / 王振孙 / 外国文学出版社 / 1997-03-01 / 9.00
102,白夜行,9.2,40958,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / 39.50元
103,清醒纪,7.9,44171,安妮宝贝 / 天津人民出版社 / 2004-10 / 22.00元
104,这些人，那些事,8.8,39999,吴念真 / 译林出版社 / 2011-9 / 28.00元
105,芒果街上的小屋,7.8,42634,[美国] 桑德拉·希斯内罗丝 / 潘帕 / 译林出版社 / 2006-6 / 24.50元
106,陪安东尼度过漫长岁月,8.4,39978,安东尼 / 长江文艺出版社 / 2008-3 / 18.00
107,灌篮高手31,9.5,26282,[日] 井上雄彦 / 邹宁 / 长春出版社 / 2005-1 / 7.50元
108,明朝那些事儿（贰）,8.9,38112,当年明月 / 中国友谊出版公司 / 2007-1 / 24.80
109,蔡康永的说话之道,7.2,45165,蔡康永 著 / 沈阳出版社 / 2010-10 / 25.00元
110,东方快车谋杀案,9.0,30956,[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元
111,当我谈跑步时我谈些什么,8.1,40106,[日] 村上春树 / 施小炜 / 南海出版公司 / 2009-1 / 25.00
112,羊脂球,8.0,39983,（法）莫泊桑 / 柳鸣九 / 北京燕山出版社 / 2007-6 / 13.50元
113,撒哈拉的故事,9.2,35584,三毛 / 哈尔滨出版社 / 2003-8 / 15.80元
114,地下铁,8.3,38489,幾米 / 辽宁教育出版社 / 2002-2 / 32.00元
115,山楂树之恋,7.9,39934,艾米 / 江苏文艺出版社 / 2007-9 / 25.00元
116,鲁滨逊漂流记,7.9,39710,[英] 笛福 / 马静 / 广西民族出版社 / 2002-1 / 9.20元
117,巴黎圣母院,8.3,38153,[法]雨果 / 陈敬容 / 人民文学出版社 / 1982-6 / 22.50元
118,一个陌生女人的来信,8.7,36653,[奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元
119,沉默的大多数,9.0,35090,王小波 / 中国青年出版社 / 1997-10 / 27.00元
120,人生若只如初见,7.3,40648,安意如 / 天津教育出版社 / 2006-8 / 23.80元
121,麦田里的守望者,8.1,37974,[美国] J. D. 塞林格 / 孙仲旭 / 译林出版社 / 2007-3 / 28.00元
122,活着,9.3,34588,余华 / 作家出版社 / 2012-8-1 / 20.00元
123,华胥引（全二册）,8.6,35540,唐七公子 / 现代出版社 / 2011-1 / 39.80元
124,安徒生童话故事集,9.1,34020,（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00
125,肖申克的救赎,9.1,34102,[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元
126,且听风吟,7.8,38305,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-8 / 11.80元
